2026-03-11 09:19:03 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:03 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:03 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:03 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:03 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:03 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:03 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:03 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
2026-03-11 09:19:04 [scheduling-1] INFO  c.s.a.s.booking.BookingCleanupTask - Cleaning up expired bookings
